STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
31,C001101705     ,1,4,1,00017,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','2W 4.8S CRAIG',99.99,0,0,0000000000,0,41425400,096241800,60,3,02,02,09,1965,2,0,30,2003,0,7.3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,7.3,14.9,15.2,0,0,7.3,7.5,99.99,N,0,N,0,0,6,6,6,6,N,1,30,1,18,5,6,N,3,7,8,,,,923,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,51,2033,,N,31,F,6,114
31,C001101715     ,1,4,1,00017,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','2W 2S CRAIG',99.99,0,0,0000000000,0,41450000,096241800,60,3,02,02,09,1990,2,0,50,2003,4,7.3,0,45,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,11.9,12.2,0,0,8.5,8.7,99.99,N,0,N,0,0,7,7,7,6,N,1,46,1,27,6,7,N,5,7,8,,,,923,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,85,2033,,N,31,G,7,106.14
31,C001101720     ,1,4,1,00017,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','2.5E 1.5S OAKLAND',99.99,0,0,0000000000,0,41482412,096241800,60,3,02,02,09,1990,2,0,55,2003,5,7.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,02,0,00,1,0,8.5,8.8,9.1,0,0,8.5,8.7,99.99,N,0,N,0,0,7,7,7,6,N,0,33,0,22,6,7,N,5,8,8,34,1,9.1,923,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,1,0,0,0,0,1,Y,8,93,2033,,N,31,G,7,79.17
31,C001102305     ,1,4,1,00023,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','.5E 6.4S CRAIG',99.99,0,0,0000000000,0,41412400,096204812,60,3,02,02,09,1988,2,0,40,2003,4,7.9,0,20,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,11.9,12.2,0,0,8.5,8.7,99.99,N,0,N,0,0,7,7,7,7,N,1,45,1,27,6,7,N,5,8,8,,,,924,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,68,2033,,N,31,G,7,106.14
31,C001102310     ,1,4,1,00023,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','.5E 5.9S CRAIG',99.99,0,0,0000000000,0,41414812,096204812,60,3,02,02,09,1983,2,0,40,2003,0,8.5,0,37,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,8.5,2.7,10.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,8,0,33,0,22,6,N,N,5,7,8,,,,923,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,N,N,N,0,0,1,Y,8,68,2033,,N,31,G,8,90.95
31,C001102410     ,1,4,1,00024,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','3S 2.8W LYONS',99.99,0,0,0000000000,0,41531212,096321212,60,3,02,02,09,1990,2,0,60,2003,4,7.9,0,30,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,11.9,12.2,0,0,8.5,8.7,99.99,N,0,N,0,0,5,7,7,6,N,1,45,1,27,6,7,N,5,8,8,,,,924,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,102,2033,,N,31,F,5,106.14
31,C001102415     ,1,4,1,07952,0,03,021,00000,'SITTLE LOGAN CREEK',,'COLL 7952','NJCT US77/N32 4N 1.8W',99.99,0.119,0,0000000000,0,41531284,096295064,160,3,02,02,08,1981,2,0,65,1998,0,8.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,14.9,15.8,0,0,8.5,8.7,99.99,N,0,N,0,0,5,7,5,6,N,1,40,1,24,5,7,N,5,8,8,,,,924,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,5,110,2033,,N,31,F,5,137.46
31,C001102420     ,1,4,1,07952,0,03,021,00000,'LOGAN CREEK',,'COUNTY ROAD O','3.5S .7W OF LYONS',99.99,0.196,0,0000000000,0,41531284,096291752,130,3,02,02,08,2010,2,0,65,1998,A,8.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,3,0,8.5,30.5,61,0,0,8.5,8.7,99.99,N,0,N,0,0,7,8,8,6,N,3,35,3,27,6,7,N,5,8,8,35,1,61.3,924,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,110,2033,,N,31,G,7,530.7
31,C001102425     ,1,4,1,07952,0,03,021,00000,'BELL CREEK',,'COLL 7952','3.5N 3.6E OF OAKLAND',99.99,0.993,0,0000000000,0,41531320,096233444,50,3,02,02,08,1977,2,0,90,1998,4,8.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,11.9,12.2,0,0,8.5,8.7,99.99,N,0,N,0,0,7,8,7,8,N,1,41,1,24,6,7,N,5,8,8,,,,924,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,90,2033,,N,31,G,7,106.14
31,C001102505     ,1,4,1,00025,0,03,021,00000,'STREAM',,'TOWNSHIP ROAD','1.5E 5.2S CRAIG',99.99,0,0,0000000000,0,41421800,096194188,60,3,02,02,09,1987,2,0,50,2003,4,7.9,0,35,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,11.9,12.2,0,0,8.5,8.7,99.99,N,0,N,0,0,7,7,7,6,N,1,45,1,27,6,7,N,5,7,8,,,,923,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,85,2033,,N,31,G,7,106.14
