"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"S275 16664     ",55,"'US275'","'.2E WATERLOO'",1984,42,"6","7","6",6,"F",25005,9,FALSE
"S275 16725     ",55,"'US275'","'SEJCT US275/N64 .7S'",1984,42,"N","N","N",8,"G",23065,8,FALSE
"S275 16755     ",55,"'COUNTY HIGHWAY'","'2W ELKHORN'",2004,22,"7","8","8",7,"G",12970,8,FALSE
"S275 16840     ",55,"'US-275 NB'","'2W 1S ELKHORN'",2004,22,"6","8","7",6,"F",6900,7,FALSE
"S275 17085     ",55,"'US275'","'4S WATERLOO'",2019,7,"8","9","8",8,"G",6195,10,FALSE
"S275 17144     ",55,"'US275'","'5W WCL OMAHA'",1955,71,"7","8","7",7,"G",6195,10,FALSE
"S275 17369     ",55,"'US275'","'3W WCL OMAHA'",1999,27,"N","N","N",6,"F",6195,10,FALSE
"S275 17369A    ",55,"'RAMP US275 TO US6'","'3W WCL OMAHA'",1999,27,"N","N","N",6,"F",6195,10,FALSE
"S275 17369B    ",55,"'RAMP US6 TO US275'","'3W WCL OMAHA'",1999,27,"N","N","N",5,"F",6195,10,FALSE
"S275 17757     ",55,"'US275/N92'","'1W WCL OMAHA'",1989,37,"8","7","7",7,"G",39510,7,FALSE
"S275 18139     ",55,"'US275/N92'","'1W L ST  INTRCHG'",1958,68,"N","N","N",5,"F",59995,7,FALSE
"S275 18484     ",55,"'US275/N92'","'1N RALSTON'",1962,64,"6","8","7",6,"F",24360,7,FALSE
"S275 18525     ",55,"'US275/N92'","'72ND & L ST INTRCHG'",1962,64,"4","4","5",4,"P",24360,7,TRUE
"S275 18587     ",55,"'US275/N92'","'1E RALSTON'",1962,64,"6","8","7",6,"F",22910,7,FALSE
"S275 18809     ",55,"'US275/N92'","'36TH & L STREET OMAHA'",1939,87,"4","6","6",4,"P",26985,7,TRUE
"S275 18888     ",55,"'US275/N92'","'1W MISSOURI RIVER BRG'",1968,58,"7","7","7",7,"G",19820,6,FALSE
"S275 18910     ",55,"'US275'","'KENNEDY EXP/L ST INTRCHG'",1969,57,"6","5","6",5,"F",19820,6,FALSE
"S275 19041     ",55,"'US275/N92'","'ECL OMAHA'",2010,16,"7","7","7",7,"G",8985,5,FALSE
"S480 00019L    ",55,"'SB-I480'","'GROVER ST INTRCHG'",1988,38,"7","7","7",7,"G",117005,5,FALSE
"S480 00019R    ",55,"'NB-I480'","'GROVER ST INTRCHG'",1988,38,"7","7","7",7,"G",117005,5,FALSE
"S480 00022     ",55,"'VINTON STREET'","'IN OMAHA'",1988,38,"6","7","7",6,"F",4500,0,FALSE
"S480 00062L    ",55,"'I480/US75'","'IN OMAHA'",1962,64,"6","6","7",6,"F",117005,5,FALSE
"S480 00062R    ",55,"'I480/US75'","'IN OMAHA'",1962,64,"6","6","7",6,"F",117005,5,FALSE
"S480 00088L    ",55,"'I480/US75'","'N38 INTRCHG'",1962,64,"6","6","7",6,"F",117005,5,FALSE
"S480 00088R    ",55,"'I480/US75'","'N38 INTRCHG'",1962,64,"6","6","7",6,"F",117005,5,FALSE
"S480 00131     ",55,"'WOOLWORTH AVE/FAU'","'IN OMAHA'",1962,64,"7","5","7",5,"F",1890,0,FALSE
"S480 00180     ",55,"'LEAVENWORTH ST/FAU'","'LEAVENWORTH ST INTRCHG'",1962,64,"6","5","7",5,"F",15800,0,FALSE
"S480 00188     ",55,"'ST MARYS AVE'","'IN OMAHA'",1962,64,"6","5","7",5,"F",10800,3,FALSE
"S480 00209     ",55,"'HARNEY ST/FAU 5050'","'HARNEY ST INTRCHG'",1963,63,"6","6","7",6,"F",8730,0,FALSE
"S480 00216     ",55,"'FARNAM ST/FAU 5052'","'IN OMAHA'",1963,63,"6","7","7",6,"F",13500,0,FALSE
"S480 00224     ",55,"'EB-US6/DOUGLAS ST'","'IN OMAHA'",1964,62,"6","6","6",6,"F",13775,2,FALSE
"S480 00231     ",55,"'WB-US6/DODGE ST'","'IN OMAHA'",1964,62,"8","8","8",8,"G",16165,2,FALSE
"S480 00247A    ",55,"'SB-US75TOEB 480'","'28TH & DODGE INTRCHG'",2005,21,"8","8","7",7,"G",3415,27,FALSE
"S480 00273L    ",55,"'WB-I480'","'IN OMAHA'",2009,17,"8","8","8",8,"G",54110,4,FALSE
"S480 00273R    ",55,"'EB-I480'","'IN OMAHA'",2007,19,"8","6","7",6,"F",54110,4,FALSE
"S480 00310A    ",55,"'I480/20TH ST EXIT'","'IN OMAHA'",1970,56,"8","5","6",5,"F",42920,4,FALSE
"S480 00310B    ",55,"'I480/17TH ST ACCES'","'IN OMAHA'",1970,56,"8","6","7",6,"F",42920,4,FALSE
"S480 00310L    ",55,"'WB-I480'","'IN OMAHA'",1970,56,"6","7","7",6,"F",42920,4,FALSE
"S480 00310R    ",55,"'EB-I480'","'IN OMAHA'",1970,56,"8","7","7",7,"G",42920,4,FALSE
"S480 00345C    ",55,"'I480 14TH ST EXIT'","'IN OMAHA'",1970,56,"7","6","6",6,"F",36195,5,FALSE
"S480 00345D    ",55,"'I480 13TH ST ACCES'","'IN OMAHA'",1970,56,"8","8","8",8,"G",36195,5,FALSE
"S480 00345E    ",55,"'I480 14TH ST ACCES'","'IN OMAHA'",1970,56,"8","6","6",6,"F",36195,5,FALSE
"S480 00345F    ",55,"'I480 14TH ST EXIT'","'IN OMAHA'",1970,56,"8","8","7",7,"G",36195,5,FALSE
"S480 00345L    ",55,"'WB-I480'","'IN OMAHA'",1970,56,"6","7","7",6,"F",36195,5,FALSE
"S480 00345R    ",55,"'EB-I480'","'IN OMAHA'",1970,56,"8","7","7",7,"G",36195,5,FALSE
"S480 00378G    ",55,"'EB-US6'","'DOUGLAS STREET OMAHA'",1966,60,"8","8","8",8,"G",9790,2,FALSE
"S480 00378H    ",55,"'WB-US6'","'DODGE STREET OMAHA'",1966,60,"8","8","8",8,"G",9365,2,FALSE
"S480 00378L    ",55,"'WB-I480'","'IN OMAHA'",1970,56,"6","8","7",6,"F",36195,5,FALSE
"S480 00378R    ",55,"'EB-I480'","'IN OMAHA'",1970,56,"8","7","7",7,"G",36195,5,FALSE
"S480 00413     ",55,"'I480/US6'","'ECL OMAHA'",1966,60,"7","6","5",5,"F",54925,4,FALSE
"S680 00017L    ",55,"'SB-I680  BRG #11'","'I80/I680 INTRCHG'",1997,29,"8","8","7",7,"G",154030,4,FALSE
"S680 00017R    ",55,"'NB-I680  BRG#6'","'I80/I680 INTRCHG'",1994,32,"8","7","7",7,"G",154030,4,FALSE
"S680 00083     ",55,"'I680  BRG#13N&S'","'CENTER ST INTRCHG'",1996,30,"9","8","8",8,"G",154030,4,FALSE
"S680 00083A    ",55,"'WB-I80 TO NB-680'","'I680/N38 INTRCHG'",1995,31,"9","8","8",8,"G",154030,4,FALSE
"S680 00083B    ",55,"'SB-CD RD  BRG #12'","'CENTER ST INTRCHG'",1996,30,"9","8","8",8,"G",154030,4,FALSE
"S680 00184     ",55,"'PACIFIC ST/FAU5044'","'PACIFIC ST INTRCHG'",2008,18,"7","8","8",7,"G",32400,0,FALSE
"S680 00216     ",55,"'I680'","'IN OMAHA'",1959,67,"6","7","8",6,"F",141700,4,FALSE
"S680 00289     ",55,"'EB-US6 TO NB-I680'","'DODGE ST INTRCHG'",2001,25,"8","8","8",8,"G",590,32,FALSE
"S680 00302     ",55,"'US 6'","'DODGE ST INTRCHG'",1960,66,"9","8","7",7,"G",135045,2,FALSE
"S680 00302A    ",55,"'US6'","'I680/US6 INTRCHG'",2001,25,"9","8","8",8,"G",590,32,FALSE
"S680 00304     ",55,"'WB US6 TO SB I680'","'DODGE ST INTRCHG'",2001,25,"9","8","8",8,"G",590,32,FALSE
"S680 00315     ",55,"'NB680 TO WB US6'","'DODGE ST INTRCHG'",2001,25,"9","8","8",8,"G",590,32,FALSE
"S680 00402     ",55,"'BLONDO ST/FAU 5066'","'IN OMAHA'",1996,30,"6","8","8",6,"F",19800,0,FALSE
"S680 00459     ",55,"'EB-N64'","'MAPLE ST INTRCHG'",2003,23,"7","8","8",7,"G",38185,3,FALSE
"S680 00532     ",55,"'SPRAGUE ST'","'IN OMAHA'",2003,23,"7","8","8",7,"G",3000,10,FALSE
"S680 00604L    ",55,"'I680'","'FORT ST INTRCHG'",1968,58,"5","5","7",5,"F",70310,4,FALSE
"S680 00604R    ",55,"'I680'","'FORT ST INTRCHG'",1968,58,"5","5","7",5,"F",70310,4,FALSE
"S680 00654     ",55,"'MILITARY AVE'","'IN OMAHA'",1968,58,"7","7","8",7,"G",5000,10,FALSE
"S680 00713     ",55,"'N133'","'N133/I680 INTRCHG'",1998,28,"6","6","8",6,"F",15005,3,FALSE
"S680 00747L    ",55,"'I680'","'IN OMAHA'",1971,55,"7","7","7",7,"G",35400,6,FALSE
"S680 00747R    ",55,"'I680'","'IN OMAHA'",1971,55,"7","7","7",7,"G",35400,6,FALSE
"S680 00761L    ",55,"'I680'","'IN OMAHA'",1971,55,"6","7","7",6,"F",35400,6,FALSE
"S680 00761R    ",55,"'I680'","'IN OMAHA'",1971,55,"6","7","7",6,"F",35400,6,FALSE
"S680 00836L    ",55,"'I680'","'IN OMAHA'",1971,55,"6","6","6",6,"F",35400,6,FALSE
"S680 00836R    ",55,"'I680'","'IN OMAHA'",1971,55,"6","6","6",6,"F",35400,6,FALSE
"S680 00986     ",55,"'72ND ST/FAU 5037'","'72ND ST INTRCHG'",1969,57,"7","7","7",7,"G",7175,2,FALSE
"S680 01092L    ",55,"'I680'","'72ND ST INTRCHG 1E'",1972,54,"7","7","7",7,"G",31775,6,FALSE
"S680 01092R    ",55,"'I680'","'72ND ST INTRCHG 1E'",1972,54,"7","7","7",7,"G",31775,6,FALSE
"S680 01150L    ",55,"'I680'","'US75 INTRCHG 1W'",1972,54,"6","5","7",5,"F",31775,6,FALSE
"S680 01150R    ",55,"'I680'","'US75 INTRCHG 1W'",1972,54,"6","6","7",6,"F",31775,6,FALSE
"S680 01210L    ",55,"'I680'","'US75 INTRCHG'",1971,55,"6","6","7",6,"F",31775,6,FALSE
"S680 01210R    ",55,"'I680'","'US75 INTRCHG'",1971,55,"6","7","7",6,"F",31775,6,FALSE
"S680 01305L    ",55,"'I680'","'31ST ST INTRCHG'",1973,53,"7","6","7",6,"F",28430,7,FALSE
"S680 01305R    ",55,"'I680'","'31ST ST INTRCHG'",1973,53,"5","7","7",5,"F",28430,7,FALSE
"S680 01343L    ",55,"'I680'","'ECL OMAHA'",1973,53,"6","5","5",5,"F",17160,10,FALSE
"S680 01343R    ",55,"'I680'","'ECL OMAHA'",1952,74,"7","5","5",5,"F",17160,10,FALSE
"SL28B00048     ",55,"'RAMP-L28B'","'2W 1S ELKHORN'",2004,22,"8","7","8",7,"G",26635,8,FALSE
"SL28B00093L    ",55,"'WB L28B'","'1W 1S ELKHORN'",2004,22,"8","8","6",6,"F",26635,8,FALSE
"SL28B00093R    ",55,"'EB L28B'","'1W 1S ELKHORN'",2004,22,"8","8","8",8,"G",26635,8,FALSE
"SL28B00119     ",55,"'228TH ST.'","'IN ELKHORN'",2004,22,"8","8","8",8,"G",900,0,FALSE
"SL28B00163L    ",55,"'WB-L28B'","'18W OMAHA'",1993,33,"8","8","7",7,"G",26635,8,FALSE
"SL28B00163R    ",55,"'EB-L28B'","'18W OMAHA'",1993,33,"8","8","7",7,"G",26635,8,FALSE
"SL28B00216     ",55,"'SKYLINE DRIVE'","'IN ELKORN'",2002,24,"6","7","7",6,"F",900,0,FALSE
"SL28K01578     ",55,"'L28K N64 TO N133'","'87TH &AMP; MILITARY OMAHA'",1966,60,"6","6","5",5,"F",10010,3,FALSE
"U182500385     ",55,"'N38'","'W. CENTER RD. AT 108TH ST'",1958,68,"N","N","N",5,"F",27900,0,FALSE
"U182500415     ",55,"'PAWNEE ROAD'","'OMAHA PAWNEE @ 96TH'",1991,35,"8","8","8",8,"G",100,1,FALSE
"U182500430P    ",55,"'J J PERSHING DR'","'OMAHA JJ PERSHING @ PONCA'",1935,91,"N","N","N",5,"F",1800,5,FALSE
"U182500469     ",55,"'S 96TH STREET'","'_'",2022,4,"N","N","N",8,"G",6308,1,FALSE
"U182500522     ",55,"'N38'","'0W 90TH ST OMAHA'",1964,62,"8","8","7",7,"G",26100,0,FALSE
"U182500685     ",55,"'N38/W CENTER RD'","'72ND & WEST CENTER OMAHA'",2004,22,"6","7","7",6,"F",22500,0,FALSE
"U182500728     ",55,"'N38'","'67TH & W CENTER RD OMAHA'",1980,46,"6","6","6",6,"F",22500,0,FALSE
"U182500980     ",55,"'N38'","'38TH & CENTER OMAHA'",1961,65,"6","7","7",6,"F",13500,0,FALSE
"U182501605P    ",55,"'OLD LINCOLN HWY'","'OLD LINCLN HWY W OF 192ND'",1998,28,"6","7","7",6,"F",854,5,FALSE
"U182501705     ",55,"'S 67TH ST'","'_'",2014,12,"7","8","8",7,"G",4500,5,FALSE
"U182501805P    ",55,"'MAIN STREET'","'ELKHORN MAIN @ RAILROAD'",2000,26,"6","6","7",6,"F",1800,5,FALSE
"U182502205P    ",55,"'153RD STREET'","'153RD &AMP; PINE ST.'",1984,42,"N","N","N",6,"F",200,5,FALSE
"U182502705     ",55,"'192ND ST'","'JCT US275/192ND ST .2S'",1988,38,"7","7","7",7,"G",15860,1,FALSE
"U182502715     ",55,"'192ND ST COLL 121C'","'.9N 192ND &AMP; WEST DODG'",1978,48,"6","7","7",6,"F",7952,5,FALSE
"U182502820     ",55,"'Q ST/FAU 5026'","'OMAHA Q @ 136TH'",1980,46,"5","6","5",5,"F",23226,5,FALSE
"U182502825     ",55,"'Q ST/FAU 5056'","'118TH @ Q ST'",1962,64,"N","N","N",6,"F",29696,5,FALSE
"U182502903P    ",55,"'Y STREET'","'Y ST @ 168TH ST'",1993,33,"N","N","N",7,"G",1802,1,FALSE
"U182502905     ",55,"'180TH STREET'","'.4S 180TH & US275'",1988,38,"6","7","7",6,"F",18460,10,FALSE
"U182503005P    ",55,"'148 TH STREET'","'.2N HILLSDALE & 148TH'",1993,33,"N","N","N",7,"G",878,5,FALSE
"U182503010     ",55,"'HARRISN ST/FAU5022'","'2W N85 SARPY CL'",1987,39,"6","6","6",6,"F",15750,0,FALSE
"U182503010P    ",55,"'149TH ST'","'245&#39; SOUTH OF &QUOT;B'",1998,28,"7","7","7",7,"G",500,5,FALSE
"U182503015     ",55,"'HARRISN ST/FAU5022'","'1W N85 SARPY CL'",1986,40,"6","7","6",6,"F",15200,0,FALSE
"U182503020     ",55,"'HARRISON ST'","'2E N85 SARPY CL'",1977,49,"5","6","5",5,"F",19182,5,FALSE
"U182503110     ",55,"'168TH ST/FAS 3811'","'.2N 168TH & F STS'",1985,41,"6","7","7",6,"F",20032,1,FALSE
"U182503110P    ",55,"'158TH STREET'","'158TH &AMP; WOOLWORTH AVE'",1984,42,"N","N","N",7,"G",200,5,FALSE
"U182503310     ",55,"'156TH ST/FAU 5135'","'156TH @ CENTER ST'",1981,45,"7","7","7",7,"G",17256,1,FALSE
"U182503505L    ",55,"'144TH ST/FAU 5001'","'144TH @ F ST'",1981,45,"7","7","6",6,"F",15750,0,FALSE
"U182503505P    ",55,"'S.I.D. ROAD'","'135TH & MIAMI ST.'",1984,42,"N","N","N",6,"F",1204,5,FALSE
"U182503505R    ",55,"'144TH ST/FAU 5001'","'144TH @ F ST'",1996,30,"7","7","7",7,"G",15750,0,FALSE
"U182503512     ",55,"'144TH STREET'","'OMAHA 144TH @ FORT'",1935,91,"N","N","N",7,"G",1794,10,FALSE
"U182503513     ",55,"'144TH STREET'","'OMAHA 144TH @ IDA'",1935,91,"N","N","N",7,"G",3718,5,FALSE
"U182503702     ",55,"'132ND ST/FAU 5005'","'OMAHA 132ND @ Z ST'",1983,43,"N","N","N",7,"G",7318,5,FALSE
"U182503703     ",55,"'132ND ST/FAU 5005'","'OMAHA 132ND @ Q'",1982,44,"7","7","6",6,"F",10016,5,FALSE
"U182503705L    ",55,"'132ND ST/FAU 5003'","'OMAHA 132ND ST @ US 275'",1984,42,"7","7","7",7,"G",29806,6,FALSE
"U182503705P    ",55,"'ANDERSON AVE'","'NE EDGE MILLARD AIRPORT'",1995,31,"N","N","N",7,"G",6144,5,FALSE
"U182503705R    ",55,"'132ND ST/FAU 5003'","'OMAHA 132ND ST @ US 275'",1970,56,"5","6","6",5,"F",28698,6,FALSE
"U182503710P    ",55,"'ANDERSON AVE'","'NE EDGE MILLARD AIRPORT'",1995,31,"N","N","N",7,"G",6144,5,FALSE
"U182503905     ",55,"'120TH ST/FAU 5009'","'OMAHA 120TH @ I'",1974,52,"N","N","N",7,"G",20962,1,FALSE
"U182504105     ",55,"'108TH ST/FAU 5011'","'OMAHA 108TH @ I'",1986,40,"7","7","7",7,"G",9040,1,FALSE
"U182504305     ",55,"'96TH ST/FAU 5017'","'OMAHA 96TH @ F'",1996,30,"7","6","7",6,"F",9650,1,FALSE
"U182504515     ",55,"'84TH ST/FAU 5023'","'84TH @ GROVER ST'",1935,91,"6","7","7",6,"F",30600,0,FALSE
"U182504704     ",55,"'72ND ST /FAU 5037'","'OMAHA 72ND @ MAIN ST'",1986,40,"N","N","N",6,"F",31095,5,FALSE
"U182504705     ",55,"'72ND ST/FAU 5037'","'OMAHA 72ND @ Q'",1978,48,"6","6","6",6,"F",30600,4,FALSE
"U182504710     ",55,"'72ND ST/FAU 5037'","'OMAHA 72ND @ F'",1966,60,"4","6","5",4,"P",56260,0,TRUE
"U182504725     ",55,"'72ND ST/FAU 5037'","'OMAHA 72ND @ PACIFIC'",1954,72,"5","6","6",5,"F",45000,0,FALSE
"U182504730     ",55,"'72ND ST/FAU 5037'","'OMAHA 72ND @ PINKNEY'",1968,58,"N","N","N",5,"F",27900,0,FALSE
"U182505315     ",55,"'36TH STREET'","'OMAHA 36TH @ D'",1994,32,"7","7","7",7,"G",2000,1,FALSE
"U182505510     ",55,"'24TH ST/FAU 5083'","'OMAHA 24TH @ HICKORY'",1994,32,"6","7","7",6,"F",10818,1,FALSE
"U182505530     ",55,"'24TH STREET/FAU 50'","'OMAHA 24TH @ STORZ EXPRWY'",1984,42,"7","7","7",7,"G",3056,1,FALSE
"U182511210     ",55,"'IDA ST'","'OMAHA IDA @ 144TH ST'",1978,48,"N","N","N",7,"G",5320,10,FALSE
"U182512025     ",55,"'CASS ST/FAU 5060'","'OMAHA CASS @ 78TH'",1968,58,"7","7","6",6,"F",24184,5,FALSE
"U182512030     ",55,"'CASS ST/FAU 5060'","'OMAHA CASS @ 77TH'",1972,54,"N","N","N",5,"F",17742,5,FALSE
"U182512605P    ",55,"'L ST/FAU 5140'","'141ST &AMP; L ST'",1983,43,"6","5","6",5,"F",5984,5,FALSE
"U182512625P    ",55,"'Y STREET'","'Y ST @ 115TH ST'",2000,26,"7","7","7",7,"G",100,5,FALSE
"U182512830     ",55,"'Q ST/FAU 5026'","'OMAHA Q @ 69TH'",1983,43,"6","7","6",6,"F",9624,5,FALSE
"U182512905P    ",55,"'168TH ST'","'JCT 168TH ST/US6 .3N'",2000,26,"7","7","7",7,"G",25690,5,FALSE
"U182513125     ",55,"'168TH ST/FAS 3811'","'.3N 168TH &AMP; N64'",1997,29,"7","7","7",7,"G",13932,5,FALSE
"U182513715     ",55,"'132ND ST/FAU 5003'","'.25S 132ND & W MAPLE RD'",1980,46,"N","N","N",6,"F",22102,5,FALSE
"U182513908P    ",55,"'CITY STREET'","'.25S .2E 120 &AMP; W MAPL'",1999,27,"7","7","7",7,"G",100,1,FALSE
"U182513910     ",55,"'120TH ST/FAU 5009'","'.25S 120TH &AMP; W MAPLE'",1982,44,"6","8","7",6,"F",17634,5,FALSE
"U182513915     ",55,"'120TH ST'","'OMAHA 120TH @ W MAPLE'",1980,46,"8","8","8",8,"G",11340,5,FALSE
"U182513920     ",55,"'120TH ST/FAU 5009'","'OMAHA 120TH @ MILITARY'",1978,48,"N","N","N",7,"G",5298,5,FALSE
"U182514510P    ",55,"'78TH STREET'","'JCT N133/L-28K 1E .4N'",1996,30,"N","N","N",6,"F",4106,5,FALSE
"U182514515P    ",55,"'VANE STREET'","'.1E 78TH ST ON VANE ST'",1996,30,"N","N","N",6,"F",200,5,FALSE
"U182520260     ",55,"'DUTCH HALL ROAD'","'2E N133 WASHINGTON CL'",1998,28,"7","7","7",7,"G",100,5,FALSE
"U182521040     ",55,"'STATE ST/FAU 5134'","'OMAHA STATE @ 90TH'",1984,42,"N","N","N",7,"G",2100,5,FALSE
"U182521415P    ",55,"'AMES AVE'","'.4N W MAPLE RD/N 168TH ST'",1995,31,"N","N","N",6,"F",500,5,FALSE
"U182521420     ",55,"'FORT ST/FAU 5082'","'JCT I680/N133 1.1S 1.8W'",1980,46,"7","7","6",6,"F",21944,5,FALSE
"U182521425     ",55,"'FORT ST/FAU 5082'","'FORT ST @ 88TH ST'",1983,43,"6","7","6",6,"F",11718,5,FALSE
"U182521820     ",55,"'FAS 5066'","'162ND &AMP; BLONDO'",1982,44,"6","6","6",6,"F",10264,45,FALSE
"U182521825     ",55,"'BLONDO ST/FAU 5066'","'JCT I680/US6 1N .8W'",1999,27,"7","7","7",7,"G",29320,5,FALSE
"U182522217     ",55,"'PACIFIC ST/FAU5044'","'OMAHA PACIFIC @ 162ND ST'",1980,46,"7","7","7",7,"G",24566,5,FALSE
"U182522218     ",55,"'FAU5044/PACIFIC ST'","'OMAHA PACIFIC @ 160TH ST'",1991,35,"6","7","6",6,"F",30810,5,FALSE
"U182522220     ",55,"'PACIFIC ST/FAU5044'","'PACIFIC @ 107TH ST'",1968,58,"7","7","7",7,"G",32400,0,FALSE
"U182522225     ",55,"'PACIFIC ST/FAU5044'","'OMAHA PACIFIC @ 69TH'",1970,56,"6","7","6",6,"F",26100,0,FALSE
"U182522300     ",55,"'SEWARD STREET'","'SEWARD ST& COLE CR OMAHA'",2009,17,"N","N","N",7,"G",2266,5,FALSE
"U182522835     ",55,"'Q ST'","'OMAHA Q @ 42ND'",2017,9,"8","8","8",8,"G",18224,1,FALSE
"U182522840     ",55,"'Q ST'","'OMAHA Q @ 26TH'",2020,6,"7","8","8",7,"G",19800,0,FALSE
"U182525140     ",55,"'N 48TH STREET'","'N 48TH @ MORMAN BRG ROAD'",2001,25,"N","N","N",6,"F",100,1,FALSE
"U182530960     ",55,"'GIBSON RD VIADUCT'","'GIBSON RD & US275 OMAHA'",2008,18,"7","8","7",7,"G",2316,35,FALSE
"U182531605     ",55,"'PRATT STREET'","'OMAHA PRATT @ 70TH'",1935,91,"N","N","N",7,"G",1900,5,FALSE
"U182531625P    ",55,"'124TH ST/FAU 5152'","'.3SW OF 120TH/MAPLE ST'",1992,34,"6","7","6",6,"F",2970,0,FALSE
"U182531830     ",55,"'BLONDO ST/FAU 5066'","'OMAHA BLONDO @ 85TH'",1977,49,"7","7","6",6,"F",21390,1,FALSE
"U182531835     ",55,"'BLONDO ST/FAU 5066'","'BLONDO @ 78TH ST'",1981,45,"6","6","7",6,"F",22112,5,FALSE
"U182532605     ",55,"'F ST/FAU 5028'","'F @ 80TH ST'",1974,52,"6","6","7",6,"F",8574,5,FALSE
"U182536466     ",55,"'CITY STREET'","'1W 680 ON OLD 6 OMAHA'",1959,67,"6","7","7",6,"F",103275,2,FALSE
"U182542615     ",55,"'F ST/FAU 5030'","'OMAHA F @ 34TH'",1995,31,"5","7","7",5,"F",4228,1,FALSE
"U182542620     ",55,"'F ST/FAU 5030'","'OMAHA F @ DAHLMAN'",1995,31,"7","7","7",7,"G",4228,5,FALSE
"U182542625     ",55,"'F ST/FAU 5030'","'OMAHA F @ BUCKINGHAM'",1982,44,"6","7","7",6,"F",7254,10,FALSE
"U1825A1005     ",55,"'NORTH RIDGE DRIVE'","'OMAHA N RIDGE DR @ STATE'",1984,42,"7","7","7",7,"G",300,2,FALSE
"U1825A5150     ",55,"'MORM BR RD/FAU5047'","'JCT US73/N36 .1W .1S'",2002,24,"N","N","N",6,"F",4500,0,FALSE
"U1825B4710     ",55,"'ABBOT DR. OMAHA'","'ABBOT DR EAST OF 13TH ST.'",2003,23,"7","8","8",7,"G",2300,0,FALSE
"U1825B5105     ",55,"'46TH STREET'","'OMAHA 46TH @ U'",1935,91,"7","6","6",6,"F",100,10,FALSE
"U1825B5505     ",55,"'J J PERSHING DR'","'OMAHA JJ PERSHING @ READ'",1966,60,"7","7","7",7,"G",8574,5,FALSE
"U1825C2005     ",55,"'S BRDG RD/FAU5164'","'S BRIDGE ROAD @ 111TH ST'",1970,56,"6","7","7",6,"F",14690,5,FALSE
"U1825C2605     ",55,"'I ST/FAU 5028'","'OMAHA I @ 120TH'",1981,45,"7","7","7",7,"G",15698,5,FALSE
"U1825C5515     ",55,"'FLORENCE BLVD'","'FLRNCE/STORZ EXP INTRCHG'",1983,43,"7","7","7",7,"G",4006,1,FALSE
"U1825D1215     ",55,"'REDICK AVE/FAU5088'","'REDICK AVE @ 65TH ST'",1996,30,"N","N","N",5,"F",21200,0,FALSE
"U1825D1825     ",55,"'PRIVATE ACESS ROAD'","'111TH ST @ CHARLES ST'",1987,39,"7","7","7",7,"G",200,2,FALSE
"U1825D2201     ",55,"'AK-SAR-BEN ACCESS'","'WOOLWORTH AVE @ 69TH ST'",1961,65,"6","6","6",6,"F",1000,2,FALSE
"U1825D2205     ",55,"'WOOLWORTH AVE'","'OMAHA WOOLWORTH @ 39TH'",1989,37,"7","7","7",7,"G",2222,1,FALSE
"U1825D2405     ",55,"'VINTON ST/FAU 5036'","'OMAHA VINTON @ 28TH'",1985,41,"7","7","6",6,"F",4692,1,FALSE
"U1825D4725     ",55,"'63RD ST'","'63RD @ F ST'",1998,28,"N","N","N",6,"F",25,5,FALSE
"U1825E1405     ",55,"'BOYD ST/FAU 5078'","'OMAHA BOYD @ 88TH'",1984,42,"6","7","7",6,"F",5960,5,FALSE
"U1825E2225     ",55,"'PINE STREET'","'OMAHA PINE @ 69TH'",1998,28,"6","7","7",6,"F",10100,2,FALSE
"U1825E3705     ",55,"'126TH STREET'","'OMAHA 126TH @ PEDERSEN'",1935,91,"N","N","N",7,"G",300,5,FALSE
"U1825E4305     ",55,"'PADDOCK ROAD'","'OMAHA PADDOCK @ W CENTER'",1972,54,"6","6","6",6,"F",4936,10,FALSE
"U1825E5105     ",55,"'F ST/FAU 5030'","'OMAHA F @ 43RD'",1973,53,"5","5","5",5,"F",6532,1,FALSE
"U1825E5315     ",55,"'DAHLMAN AVE'","'OMAHA DAHLMAN @ A'",1999,27,"7","7","7",7,"G",2908,5,FALSE
"U1825F1405     ",55,"'AMES AVE/FAU 5080'","'OMAHA AMES @ 66TH'",1935,91,"N","N","N",6,"F",17460,0,FALSE
"U1825F3705     ",55,"'SELDIN DRIVE'","'OMAHA SELDIN @ PEDERSEN'",1935,91,"N","N","N",6,"F",100,5,FALSE
"U1825F4105     ",55,"'105TH ST/FAU 5013'","'OMAHA 105TH @ FRANCES'",1935,91,"N","N","N",6,"F",4488,5,FALSE
"U1825F4110     ",55,"'105TH ST/FAU 5013'","'OMAHA 105TH @ PACIFIC'",1984,42,"6","6","5",5,"F",7110,0,FALSE
"U1825G3515     ",55,"'POTWIN ST'","'OMAHA POTWIN @ 134TH'",1988,38,"N","N","N",8,"G",200,1,FALSE
"U1825G3705     ",55,"'A STREET'","'OMAHA A @ PEDERSEN'",1935,91,"N","N","N",7,"G",500,5,FALSE
"U1825G4305     ",55,"'90TH ST/FAU 5019'","'OMAHA 90TH @ HOLMES'",1935,91,"N","N","N",5,"F",4948,5,FALSE
"U1825G4905     ",55,"'52ND AVE.'","'.2SW OF N36 & 52ND AVE.'",1965,61,"N","N","N",6,"F",300,10,FALSE
