"structure_number","county","facility_carried","location","year_built","bridge_age","deck_rating","superstructure_rating","substructure_rating","lowest_rating","bridge_condition","daily_traffic","percent_truck_traffic","poor_condition"
"C002841220P    ",55,"'CRAIG STREET'","'140 W WENNINGHOFF RD'",2008,18,"7","7","6",6,"F",250,10,FALSE
"C002843315P    ",55,"'PRKING LOT ENT/EXT'","'.1W 153 ST/.2N BLONDO ST'",1997,29,"N","N","N",7,"G",100,10,FALSE
"M250001415     ",55,"'MEIGS ST'","'SECL VALLEY'",2001,25,"7","8","7",7,"G",4183,0,FALSE
"S006 35482     ",55,"'US6/N31'","'5S ELKHORN'",1999,27,"7","8","8",7,"G",22055,6,FALSE
"S006 35500     ",55,"'US6/N31'","'US6/US275 INTRCHG'",1999,27,"6","8","7",6,"F",22055,6,FALSE
"S006 35693L    ",55,"'US6 WB'","'US6/L28B/N31 INTCHG'",2002,24,"7","8","7",7,"G",27910,5,FALSE
"S006 35693R    ",55,"'US6 EB'","'US6/L28B/N31 INTRCHG'",2002,24,"7","8","7",7,"G",27910,5,FALSE
"S006 35728     ",55,"'US6'","'.35E JCT US6/N31'",2002,24,"N","N","N",8,"G",47940,5,FALSE
"S006 35790     ",55,"'US6'","'US6 AT 192ND ST. OMAHA'",2003,23,"7","8","6",6,"F",47940,5,FALSE
"S006 35890     ",55,"'180TH STREET'","'180TH ST.& US6 OMAHA'",2003,23,"7","8","7",7,"G",11900,10,FALSE
"S006 35912     ",55,"'US6'","'.2E 180TH&US6 OMAHA'",2003,23,"N","N","N",6,"F",74485,3,FALSE
"S006 35981     ",55,"'168TH ST'","'1.7W OMAHA'",2000,26,"6","5","8",5,"F",17135,0,FALSE
"S006 35999     ",55,"'US6'","'NJCT US6/N31 3.2E'",2000,26,"7","8","7",7,"G",93295,3,FALSE
"S006 36012     ",55,"'US6'","'1.3W OMAHA'",2000,26,"7","8","7",7,"G",93295,3,FALSE
"S006 36093     ",55,"'156TH ST'","'156TH @ W DODGE OMAHA'",1995,31,"6","7","8",6,"F",29970,0,FALSE
"S006 36142     ",55,"'150TH ST/FAU 5144'","'150TH @ W DODGE OMAHA'",2019,7,"8","8","8",8,"G",2900,0,FALSE
"S006 36149A    ",55,"'RAMP TO HWY 6'","'RAMP 2 WYCLIFFE DR'",2018,8,"8","8","8",8,"G",2000,5,FALSE
